task,description,start,finish,duration,duration_hrs,note,category,date
theta,NA,2018-10-15T12:28:00Z,2018-10-15T12:57:00Z,00:29:07,0.4854252,NA,theta,2018-10-15
review,NA,2018-10-15T12:57:00Z,2018-10-15T13:00:00Z,00:02:59,0.0499644,NA,psi,2018-10-15
psi,NA,2018-10-15T13:00:00Z,2018-10-15T13:11:00Z,00:11:18,0.1885385,NA,psi,2018-10-15
psi,NA,2018-10-15T13:21:00Z,2018-10-15T13:42:00Z,00:21:39,0.3609951,NA,psi,2018-10-15
review,NA,2018-10-15T13:45:00Z,2018-10-15T13:48:00Z,00:02:22,0.0395717,NA,psi,2018-10-15
phi,NA,2018-10-15T13:49:00Z,2018-10-15T14:02:00Z,00:13:00,0.21673510000000001,NA,phi,2018-10-15
phi,NA,2018-10-15T14:03:00Z,2018-10-15T14:03:00Z,00:00:06,0.0016958,NA,phi,2018-10-15
theta,NA,2018-10-15T15:59:00Z,2018-10-15T16:18:00Z,00:18:49,0.3138276,NA,theta,2018-10-15
theta,NA,2018-10-15T16:24:00Z,2018-10-15T16:33:00Z,00:09:19,0.1553211,NA,theta,2018-10-15
psi,NA,2018-10-15T16:35:00Z,2018-10-15T16:38:00Z,00:02:35,0.0431414,NA,psi,2018-10-15
review,NA,2018-10-15T17:14:00Z,2018-10-15T17:21:00Z,00:07:35,0.1266098,NA,psi,2018-10-15
phi,NA,2018-10-15T17:21:00Z,2018-10-15T17:50:00Z,00:29:10,0.4862328,NA,phi,2018-10-15
phi,NA,2018-10-15T18:56:00Z,2018-10-15T19:23:00Z,00:27:21,0.4560631,NA,phi,2018-10-15
phi,NA,2018-10-15T19:47:00Z,2018-10-15T20:12:00Z,00:25:07,0.4188375,NA,phi,2018-10-15
review,NA,2018-10-15T20:12:00Z,2018-10-15T20:15:00Z,00:03:04,0.0512843,NA,psi,2018-10-15
phi,NA,2018-10-15T20:15:00Z,2018-10-15T20:17:00Z,00:02:41,0.0448319,NA,phi,2018-10-15
phi,NA,2018-10-15T20:34:00Z,2018-10-15T20:44:00Z,00:09:08,0.1524854,NA,phi,2018-10-15
phi,NA,2018-10-15T20:48:00Z,2018-10-15T21:23:00Z,00:34:42,0.57854,NA,phi,2018-10-15
review,NA,2018-10-15T21:37:00Z,2018-10-15T21:38:00Z,00:00:35,0.0099818,NA,psi,2018-10-15
phi,NA,2018-10-15T21:38:00Z,2018-10-15T21:39:00Z,00:01:42,0.0285604,NA,phi,2018-10-15
review,NA,2018-10-15T21:39:00Z,2018-10-15T21:40:00Z,00:00:22,0.0062944,NA,psi,2018-10-15
phi,NA,2018-10-15T21:40:00Z,2018-10-15T22:12:00Z,00:32:29,0.5416351,NA,phi,2018-10-15
review,NA,2018-10-16T08:47:00Z,2018-10-16T08:56:00Z,00:09:02,0.1506908,NA,psi,2018-10-16
theta,NA,2018-10-16T08:56:00Z,2018-10-16T09:12:00Z,00:16:08,0.2690193,NA,theta,2018-10-16
review,NA,2018-10-16T09:12:00Z,2018-10-16T09:12:00Z,00:00:07,0.0021813,NA,psi,2018-10-16
theta,NA,2018-10-16T09:12:00Z,2018-10-16T09:13:00Z,00:00:58,0.0163573,NA,theta,2018-10-16
psi,NA,2018-10-16T09:13:00Z,2018-10-16T09:17:00Z,00:03:34,0.0595886,NA,psi,2018-10-16
theta,NA,2018-10-16T09:17:00Z,2018-10-16T09:24:00Z,00:07:27,0.1244225,NA,theta,2018-10-16
review,NA,2018-10-17T07:54:00Z,2018-10-17T07:57:00Z,00:02:23,0.0397359,NA,psi,2018-10-17
psi,NA,2018-10-17T07:57:00Z,2018-10-17T08:00:00Z,00:03:45,0.0625643,NA,psi,2018-10-17
psi,NA,2018-10-17T08:00:00Z,2018-10-17T08:02:00Z,00:01:20,0.0222763,NA,psi,2018-10-17
review,NA,2018-10-17T08:02:00Z,2018-10-17T08:02:00Z,00:00:01,4.378e-4,NA,psi,2018-10-17
review,NA,2018-10-18T11:27:00Z,2018-10-18T11:55:00Z,00:27:44,0.4623187,NA,psi,2018-10-18
psi,NA,2018-10-18T12:05:00Z,2018-10-18T12:05:00Z,00:00:05,0.0016018,NA,psi,2018-10-18
theta,NA,2018-10-18T12:26:00Z,2018-10-18T12:27:00Z,00:00:00,2.531e-4,NA,theta,2018-10-18
psi,NA,2018-10-18T12:27:00Z,2018-10-18T12:39:00Z,00:12:32,0.2091167,NA,psi,2018-10-18
phi,NA,2018-10-18T12:39:00Z,2018-10-18T12:44:00Z,00:04:55,0.082136700000000007,NA,phi,2018-10-18
psi,NA,2018-10-18T12:44:00Z,2018-10-18T12:50:00Z,00:05:51,0.0975494,NA,psi,2018-10-18
phi,NA,2018-10-18T13:01:00Z,2018-10-18T13:06:00Z,00:05:00,0.0835533,NA,phi,2018-10-18
phi,NA,2018-10-18T13:12:00Z,2018-10-18T13:25:00Z,00:13:02,0.217299,NA,phi,2018-10-18
psi,NA,2018-10-18T13:25:00Z,2018-10-18T13:39:00Z,00:13:37,0.227165,NA,psi,2018-10-18
phi,NA,2018-10-18T13:54:00Z,2018-10-18T14:25:00Z,00:31:02,0.5174938,NA,phi,2018-10-18
phi,NA,2018-10-18T14:33:00Z,2018-10-18T14:45:00Z,00:11:46,0.1962178,NA,phi,2018-10-18
psi,NA,2018-10-18T15:14:00Z,2018-10-18T15:14:00Z,00:00:46,0.0127979,NA,psi,2018-10-18
phi,NA,2018-10-18T15:14:00Z,2018-10-18T16:52:00Z,01:37:26,1.6240126,NA,phi,2018-10-18
phi,NA,2018-10-19T08:32:00Z,2018-10-19T08:33:00Z,00:00:16,0.0047102,NA,phi,2018-10-19
phi,NA,2018-10-19T08:40:00Z,2018-10-19T08:45:00Z,00:04:20,0.0723398,NA,phi,2018-10-19
phi,NA,2018-10-19T08:47:00Z,2018-10-19T08:54:00Z,00:06:37,0.1103218,NA,phi,2018-10-19
phi,NA,2018-10-19T09:00:00Z,2018-10-19T09:11:00Z,00:11:31,0.1921517,NA,phi,2018-10-19
review,NA,2018-10-21T19:04:00Z,2018-10-21T19:10:00Z,00:05:34,0.0927786,NA,psi,2018-10-21
psi,NA,2018-10-21T19:10:00Z,2018-10-21T19:12:00Z,00:01:32,0.0257991,NA,psi,2018-10-21
psi,NA,2018-10-21T19:12:00Z,2018-10-21T19:27:00Z,00:15:21,0.256092,NA,psi,2018-10-21
psi,NA,2018-10-21T19:27:00Z,2018-10-21T19:42:00Z,00:14:52,0.24783,NA,psi,2018-10-21
review,NA,2018-10-21T19:54:00Z,2018-10-21T19:57:00Z,00:02:34,0.0429144,NA,psi,2018-10-21
phi,NA,2018-10-21T19:57:00Z,2018-10-21T20:00:00Z,00:02:58,0.0494989,NA,phi,2018-10-21
phi,NA,2018-10-21T20:07:00Z,2018-10-21T20:18:00Z,00:10:50,0.180824,NA,phi,2018-10-21
review,NA,2018-10-22T03:45:00Z,2018-10-22T03:46:00Z,00:01:18,0.0218309,NA,psi,2018-10-22
psi,NA,2018-10-22T03:46:00Z,2018-10-22T03:50:00Z,00:04:14,0.0707172,NA,psi,2018-10-22
psi,NA,2018-10-22T03:50:00Z,2018-10-22T03:58:00Z,00:07:24,0.1235531,NA,psi,2018-10-22
phi,NA,2018-10-22T04:17:00Z,2018-10-22T04:19:00Z,00:02:00,0.0335608,NA,phi,2018-10-22
psi,NA,2018-10-22T04:19:00Z,2018-10-22T04:19:00Z,00:00:00,1.331e-4,NA,psi,2018-10-22
theta,NA,2018-10-22T04:19:00Z,2018-10-22T04:23:00Z,00:03:42,0.0617841,NA,theta,2018-10-22
psi,NA,2018-10-22T04:23:00Z,2018-10-22T04:23:00Z,00:00:39,0.0110671,NA,psi,2018-10-22
phi,NA,2018-10-22T04:23:00Z,2018-10-22T04:24:00Z,00:00:33,0.0092538,NA,phi,2018-10-22
theta,NA,2018-10-22T04:33:00Z,2018-10-22T04:34:00Z,00:01:08,0.019003,NA,theta,2018-10-22
psi,NA,2018-10-22T04:34:00Z,2018-10-22T04:45:00Z,00:10:23,0.173237,NA,psi,2018-10-22
psi,NA,2018-10-22T04:45:00Z,2018-10-22T04:47:00Z,00:02:25,0.0405479,NA,psi,2018-10-22
review,NA,2018-10-22T07:45:00Z,2018-10-22T07:46:00Z,00:00:33,0.0092283,NA,psi,2018-10-22
theta,NA,2018-10-22T12:33:00Z,2018-10-22T12:43:00Z,00:09:10,0.1529849,NA,theta,2018-10-22
psi,NA,2018-10-22T12:43:00Z,2018-10-22T12:56:00Z,00:12:54,0.2151446,NA,psi,2018-10-22
phi,NA,2018-10-22T13:20:00Z,2018-10-22T13:25:00Z,00:05:10,0.0863287,NA,phi,2018-10-22
theta,NA,2018-10-22T13:25:00Z,2018-10-22T13:28:00Z,00:03:06,0.0519431,NA,theta,2018-10-22
review,NA,2018-10-22T13:30:00Z,2018-10-22T13:31:00Z,00:00:56,0.0157873,NA,psi,2018-10-22
psi,NA,2018-10-22T14:55:00Z,2018-10-22T14:56:00Z,00:01:07,0.0187854,NA,psi,2018-10-22
phi,NA,2018-10-22T14:56:00Z,2018-10-22T15:18:00Z,00:22:26,0.3741063,NA,phi,2018-10-22
theta,NA,2018-10-23T07:27:00Z,2018-10-23T07:32:00Z,00:04:14,0.0707694,NA,theta,2018-10-23
phi,NA,2018-10-23T13:18:00Z,2018-10-23T13:21:00Z,00:03:06,0.0518455,NA,phi,2018-10-23
phi,NA,2018-10-23T13:21:00Z,2018-10-23T13:33:00Z,00:12:01,0.2002841,NA,phi,2018-10-23
psi,NA,2018-10-23T13:44:00Z,2018-10-23T13:44:00Z,00:00:01,4.718e-4,NA,psi,2018-10-23
phi,NA,2018-10-23T13:54:00Z,2018-10-23T14:07:00Z,00:13:44,0.2288971,NA,phi,2018-10-23
psi,NA,2018-10-23T14:07:00Z,2018-10-23T14:13:00Z,00:05:42,0.095017,NA,psi,2018-10-23
review,NA,2018-10-23T14:13:00Z,2018-10-23T14:14:00Z,00:00:38,0.0107493,NA,psi,2018-10-23
phi,NA,2018-10-23T14:28:00Z,2018-10-23T14:29:00Z,00:01:07,0.0188352,NA,phi,2018-10-23
theta,NA,2018-10-23T14:33:00Z,2018-10-23T14:39:00Z,00:05:52,0.0980357,NA,theta,2018-10-23
psi,NA,2018-10-23T14:39:00Z,2018-10-23T14:40:00Z,00:01:19,0.0220554,NA,psi,2018-10-23
phi,NA,2018-10-23T14:40:00Z,2018-10-23T14:44:00Z,00:03:23,0.0566494,NA,phi,2018-10-23
review,NA,2018-10-23T14:44:00Z,2018-10-23T14:45:00Z,00:01:15,0.0209209,NA,psi,2018-10-23
phi,NA,2018-10-23T14:45:00Z,2018-10-23T14:59:00Z,00:14:03,0.2343451,NA,phi,2018-10-23
psi,NA,2018-10-24T13:46:00Z,2018-10-24T13:50:00Z,00:03:09,0.0526959,NA,psi,2018-10-24
psi,NA,2018-10-24T13:50:00Z,2018-10-24T13:52:00Z,00:02:37,0.0437769,NA,psi,2018-10-24
review,NA,2018-10-24T19:11:00Z,2018-10-24T19:15:00Z,00:03:32,0.0591155,NA,psi,2018-10-24
psi,NA,2018-10-24T19:15:00Z,2018-10-24T19:16:00Z,00:01:04,0.0179381,NA,psi,2018-10-24
psi,NA,2018-10-24T19:33:00Z,2018-10-24T19:36:00Z,00:03:10,0.0529504,NA,psi,2018-10-24
review,NA,2018-10-24T19:36:00Z,2018-10-24T19:38:00Z,00:01:52,0.0313668,NA,psi,2018-10-24
phi,NA,2018-10-24T19:38:00Z,2018-10-24T19:40:00Z,00:02:04,0.0346977,NA,phi,2018-10-24
phi,NA,2018-10-24T20:33:00Z,2018-10-24T20:41:00Z,00:07:26,0.1240708,NA,phi,2018-10-24
review,NA,2018-10-24T20:41:00Z,2018-10-24T20:48:00Z,00:06:52,0.1144728,NA,psi,2018-10-24
psi,NA,2018-10-24T20:48:00Z,2018-10-24T20:53:00Z,00:05:49,0.0971973,NA,psi,2018-10-24
theta,NA,2018-10-24T20:53:00Z,2018-10-24T20:53:00Z,00:00:00,2.128e-4,NA,theta,2018-10-24
review,NA,2018-10-25T07:24:00Z,2018-10-25T07:28:00Z,00:04:06,0.068604299999999993,NA,psi,2018-10-25
psi,NA,2018-10-25T07:28:00Z,2018-10-25T07:30:00Z,00:01:17,0.0214615,NA,psi,2018-10-25
psi,NA,2018-10-25T07:30:00Z,2018-10-25T07:50:00Z,00:20:07,0.3353083,NA,psi,2018-10-25
phi,NA,2018-10-25T07:50:00Z,2018-10-25T08:03:00Z,00:13:36,0.2269243,NA,phi,2018-10-25
review,NA,2018-10-25T12:36:00Z,2018-10-25T12:38:00Z,00:02:01,0.0337372,NA,psi,2018-10-25
phi,NA,2018-10-25T12:38:00Z,2018-10-25T12:42:00Z,00:03:20,0.0557065,NA,phi,2018-10-25
psi,NA,2018-10-25T12:42:00Z,2018-10-25T12:49:00Z,00:07:19,0.1219787,NA,psi,2018-10-25
phi,NA,2018-10-25T13:45:00Z,2018-10-25T13:49:00Z,00:04:27,0.0741677,NA,phi,2018-10-25
psi,NA,2018-10-25T13:49:00Z,2018-10-25T14:20:00Z,00:31:04,0.5178405,NA,psi,2018-10-25
phi,NA,2018-10-25T14:49:00Z,2018-10-25T15:10:00Z,00:21:08,0.3524795,NA,phi,2018-10-25
theta,NA,2018-10-25T15:10:00Z,2018-10-25T15:12:00Z,00:02:30,0.0418075,NA,theta,2018-10-25
psi,NA,2018-10-25T15:12:00Z,2018-10-25T15:15:00Z,00:02:16,0.0378464,NA,psi,2018-10-25
review,NA,2018-10-25T16:23:00Z,2018-10-25T16:24:00Z,00:00:24,0.006719,NA,psi,2018-10-25
phi,NA,2018-10-25T16:24:00Z,2018-10-25T16:47:00Z,00:23:36,0.3934432,NA,phi,2018-10-25
psi,NA,2018-10-25T17:38:00Z,2018-10-25T17:44:00Z,00:06:11,0.1031099,NA,psi,2018-10-25
phi,NA,2018-10-25T17:44:00Z,2018-10-25T18:01:00Z,00:17:07,0.2853786,NA,phi,2018-10-25
psi,NA,2018-10-25T18:15:00Z,2018-10-25T18:27:00Z,00:12:19,0.2055485,NA,psi,2018-10-25
review,NA,2018-10-25T18:28:00Z,2018-10-25T18:33:00Z,00:05:31,0.0920055,NA,psi,2018-10-25
phi,NA,2018-10-25T18:33:00Z,2018-10-25T18:54:00Z,00:20:26,0.3407195,NA,phi,2018-10-25
psi,NA,2018-10-25T18:54:00Z,2018-10-25T19:14:00Z,00:19:44,0.3288956,NA,psi,2018-10-25
review,NA,2018-10-25T19:14:00Z,2018-10-25T19:15:00Z,00:00:54,0.015158,NA,psi,2018-10-25
phi,NA,2018-10-25T19:25:00Z,2018-10-25T19:35:00Z,00:10:01,0.1670675,NA,phi,2018-10-25
review,NA,2018-10-25T19:35:00Z,2018-10-25T19:49:00Z,00:14:02,0.2339442,NA,psi,2018-10-25
phi,NA,2018-10-25T19:49:00Z,2018-10-25T20:06:00Z,00:16:13,0.2703008,NA,phi,2018-10-25
phi,NA,2018-10-25T20:06:00Z,2018-10-25T20:19:00Z,00:13:12,0.2201444,NA,phi,2018-10-25
review,NA,2018-10-26T12:25:00Z,2018-10-26T12:29:00Z,00:04:02,0.0674877,NA,psi,2018-10-26
psi,NA,2018-10-26T12:29:00Z,2018-10-26T12:33:00Z,00:03:38,0.0606421,NA,psi,2018-10-26
review,NA,2018-10-26T12:33:00Z,2018-10-26T12:33:00Z,00:00:06,0.0018261,NA,psi,2018-10-26
psi,NA,2018-10-26T12:33:00Z,2018-10-26T12:45:00Z,00:12:11,0.2032928,NA,psi,2018-10-26
review,NA,2018-10-26T12:45:00Z,2018-10-26T12:45:00Z,00:00:02,5.903e-4,NA,psi,2018-10-26
psi,NA,2018-10-26T12:45:00Z,2018-10-26T12:47:00Z,00:01:22,0.0228441,NA,psi,2018-10-26
review,NA,2018-10-26T12:47:00Z,2018-10-26T12:48:00Z,00:01:28,0.0245659,NA,psi,2018-10-26
phi,NA,2018-10-26T12:53:00Z,2018-10-26T13:00:00Z,00:07:08,0.1191556,NA,phi,2018-10-26
theta,NA,2018-10-26T13:00:00Z,2018-10-26T13:04:00Z,00:03:56,0.0655699,NA,theta,2018-10-26
psi,NA,2018-10-26T13:04:00Z,2018-10-26T13:13:00Z,00:08:17,0.1382529,NA,psi,2018-10-26
phi,NA,2018-10-26T13:13:00Z,2018-10-26T13:13:00Z,00:00:01,3.679e-4,NA,phi,2018-10-26
phi,NA,2018-10-26T13:13:00Z,2018-10-26T13:26:00Z,00:13:30,0.22506,NA,phi,2018-10-26
theta,NA,2018-10-26T13:26:00Z,2018-10-26T13:26:00Z,00:00:07,0.0021005,NA,theta,2018-10-26
review,NA,2018-10-26T13:26:00Z,2018-10-26T13:28:00Z,00:01:48,0.0300139,NA,psi,2018-10-26
psi,NA,2018-10-26T13:28:00Z,2018-10-26T13:47:00Z,00:18:53,0.314745,NA,psi,2018-10-26
review,NA,2018-10-26T14:07:00Z,2018-10-26T14:07:00Z,00:00:43,0.0120402,NA,psi,2018-10-26
phi,NA,2018-10-26T14:07:00Z,2018-10-26T14:28:00Z,00:20:15,0.3376861,NA,phi,2018-10-26
theta,NA,2018-10-26T14:28:00Z,2018-10-26T14:29:00Z,00:01:35,0.0265323,NA,theta,2018-10-26
psi,NA,2018-10-26T14:29:00Z,2018-10-26T14:37:00Z,00:07:42,0.1284643,NA,psi,2018-10-26
phi,NA,2018-10-26T14:37:00Z,2018-10-26T14:57:00Z,00:19:58,0.3328462,NA,phi,2018-10-26
review,NA,2018-10-26T14:57:00Z,2018-10-26T14:58:00Z,00:00:33,0.009386,NA,psi,2018-10-26
phi,NA,2018-10-26T15:25:00Z,2018-10-26T15:49:00Z,00:23:46,0.396269,NA,phi,2018-10-26
phi,NA,2018-10-26T15:49:00Z,2018-10-26T16:12:00Z,00:23:49,0.3969918,NA,phi,2018-10-26
psi,NA,2018-10-26T20:44:00Z,2018-10-26T20:48:00Z,00:03:28,0.057812,NA,psi,2018-10-26
psi,NA,2018-10-26T20:48:00Z,2018-10-26T21:01:00Z,00:13:40,0.2277832,NA,psi,2018-10-26
review,NA,2018-10-28T20:07:00Z,2018-10-28T20:16:00Z,00:08:22,0.139514,NA,psi,2018-10-28
review,NA,2018-10-28T20:26:00Z,2018-10-28T20:26:00Z,00:00:05,0.0015885,NA,psi,2018-10-28
psi,NA,2018-10-28T20:26:00Z,2018-10-28T20:42:00Z,00:15:28,0.2580067,NA,psi,2018-10-28
psi,NA,2018-10-28T20:52:00Z,2018-10-28T21:02:00Z,00:09:54,0.165022,NA,psi,2018-10-28
review,NA,2018-10-28T21:09:00Z,2018-10-28T21:25:00Z,00:16:13,0.270404,NA,psi,2018-10-28
review,NA,2018-10-28T21:52:00Z,2018-10-28T21:57:00Z,00:04:44,0.0790237,NA,psi,2018-10-28
psi,NA,2018-10-28T22:05:00Z,2018-10-28T22:19:00Z,00:14:18,0.2384073,NA,psi,2018-10-28
review,NA,2018-10-29T19:07:00Z,2018-10-29T19:09:00Z,00:02:26,0.0408223,NA,psi,2018-10-29
psi,NA,2018-10-29T19:09:00Z,2018-10-29T19:10:00Z,00:01:16,0.021175,NA,psi,2018-10-29
psi,NA,2018-10-29T19:10:00Z,2018-10-29T19:22:00Z,00:11:51,0.1976766,NA,psi,2018-10-29
phi,NA,2018-10-29T19:22:00Z,2018-10-29T19:42:00Z,00:20:00,0.3335607,NA,phi,2018-10-29
review,NA,2018-10-30T09:42:00Z,2018-10-30T09:47:00Z,00:04:37,0.0772168,NA,psi,2018-10-30
psi,NA,2018-10-30T09:47:00Z,2018-10-30T09:53:00Z,00:06:09,0.1027049,NA,psi,2018-10-30
psi,NA,2018-10-30T09:53:00Z,2018-10-30T09:53:00Z,00:00:43,0.0121732,NA,psi,2018-10-30
phi,NA,2018-10-30T09:53:00Z,2018-10-30T09:53:00Z,00:00:03,8.765e-4,NA,phi,2018-10-30
phi,NA,2018-10-30T09:54:00Z,2018-10-30T09:55:00Z,00:01:28,0.0246097,NA,phi,2018-10-30
theta,NA,2018-10-30T09:55:00Z,2018-10-30T09:56:00Z,00:00:14,0.0039274,NA,theta,2018-10-30
theta,NA,2018-10-30T10:00:00Z,2018-10-30T10:01:00Z,00:01:08,0.0191321,NA,theta,2018-10-30
psi,NA,2018-10-30T10:01:00Z,2018-10-30T10:02:00Z,00:01:01,0.0171864,NA,psi,2018-10-30
phi,NA,2018-10-30T10:02:00Z,2018-10-30T10:31:00Z,00:29:22,0.4895954,NA,phi,2018-10-30
theta,NA,2018-10-30T11:15:00Z,2018-10-30T11:16:00Z,00:00:32,0.0090761,NA,theta,2018-10-30
psi,NA,2018-10-30T11:16:00Z,2018-10-30T11:16:00Z,00:00:39,0.0110164,NA,psi,2018-10-30
review,NA,2018-10-30T11:16:00Z,2018-10-30T11:17:00Z,00:00:20,0.0057055,NA,psi,2018-10-30
theta,NA,2018-10-30T11:17:00Z,2018-10-30T11:17:00Z,00:00:03,0.0010018,NA,theta,2018-10-30
review,NA,2018-10-30T11:17:00Z,2018-10-30T11:17:00Z,00:00:42,0.0117963,NA,psi,2018-10-30
theta,NA,2018-10-30T11:17:00Z,2018-10-30T11:23:00Z,00:05:38,0.0939284,NA,theta,2018-10-30
theta,NA,2018-10-30T11:23:00Z,2018-10-30T11:23:00Z,00:00:00,1.854e-4,NA,theta,2018-10-30
review,NA,2018-11-01T10:08:00Z,2018-11-01T10:16:00Z,00:07:56,0.1324769,NA,psi,2018-11-01
psi,NA,2018-11-01T10:16:00Z,2018-11-01T10:20:00Z,00:03:34,0.0595314,NA,psi,2018-11-01
psi,NA,2018-11-01T10:20:00Z,2018-11-01T10:26:00Z,00:06:30,0.1084638,NA,psi,2018-11-01
review,NA,2018-11-01T10:26:00Z,2018-11-01T10:26:00Z,00:00:21,0.0060809,NA,psi,2018-11-01
phi,NA,2018-11-01T10:26:00Z,2018-11-01T10:31:00Z,00:04:09,0.0693983,NA,phi,2018-11-01
theta,NA,2018-11-01T10:31:00Z,2018-11-01T10:35:00Z,00:04:17,0.0714238,NA,theta,2018-11-01
review,NA,2018-11-01T10:35:00Z,2018-11-01T10:35:00Z,00:00:11,0.0032301,NA,psi,2018-11-01
psi,NA,2018-11-01T10:35:00Z,2018-11-01T10:40:00Z,00:04:26,0.0740473,NA,psi,2018-11-01
phi,NA,2018-11-01T11:34:00Z,2018-11-01T11:40:00Z,00:05:53,0.0980958,NA,phi,2018-11-01
theta,NA,2018-11-01T11:40:00Z,2018-11-01T11:41:00Z,00:00:40,0.0112995,NA,theta,2018-11-01
psi,NA,2018-11-01T11:50:00Z,2018-11-01T12:05:00Z,00:15:05,0.2513987,NA,psi,2018-11-01
phi,NA,2018-11-01T12:05:00Z,2018-11-01T12:06:00Z,00:00:21,0.005885,NA,phi,2018-11-01
review,NA,2018-11-01T12:06:00Z,2018-11-01T12:07:00Z,00:00:42,0.0117984,NA,psi,2018-11-01
theta,NA,2018-11-01T12:07:00Z,2018-11-01T12:08:00Z,00:01:57,0.0327621,NA,theta,2018-11-01
theta,NA,2018-11-01T12:08:00Z,2018-11-01T12:30:00Z,00:21:45,0.362564,NA,theta,2018-11-01
theta,NA,2018-11-01T12:30:00Z,2018-11-01T12:44:00Z,00:13:30,0.2250745,NA,theta,2018-11-01
review,NA,2018-11-01T12:44:00Z,2018-11-01T12:45:00Z,00:00:57,0.0158721,NA,psi,2018-11-01
psi,NA,2018-11-01T12:47:00Z,2018-11-01T13:08:00Z,00:20:18,0.3384504,NA,psi,2018-11-01
review,NA,2018-11-01T13:42:00Z,2018-11-01T13:42:00Z,00:00:03,9.821e-4,NA,psi,2018-11-01
psi,NA,2018-11-01T13:42:00Z,2018-11-01T14:02:00Z,00:20:11,0.3364213,NA,psi,2018-11-01
phi,NA,2018-11-01T14:47:00Z,2018-11-01T15:07:00Z,00:20:17,0.3382073,NA,phi,2018-11-01
theta,NA,2018-11-01T15:52:00Z,2018-11-01T16:09:00Z,00:16:28,0.2746521,NA,theta,2018-11-01
phi,NA,2018-11-01T16:09:00Z,2018-11-01T16:13:00Z,00:04:00,0.0668696,NA,phi,2018-11-01
psi,NA,2018-11-01T16:13:00Z,2018-11-01T16:18:00Z,00:05:01,0.0836773,NA,psi,2018-11-01
theta,NA,2018-11-01T18:36:00Z,2018-11-01T18:42:00Z,00:06:11,0.1031781,NA,theta,2018-11-01
review,NA,2018-11-01T20:19:00Z,2018-11-01T20:21:00Z,00:01:20,0.0222725,NA,psi,2018-11-01
phi,NA,2018-11-01T20:21:00Z,2018-11-01T20:42:00Z,00:21:15,0.3543807,NA,phi,2018-11-01
phi,NA,2018-11-01T20:54:00Z,2018-11-01T21:23:00Z,00:29:14,0.4873341,NA,phi,2018-11-01
review,NA,2018-11-01T21:23:00Z,2018-11-01T21:26:00Z,00:02:46,0.0461749,NA,psi,2018-11-01
phi,NA,2018-11-02T10:19:00Z,2018-11-02T11:01:00Z,00:41:25,0.6905165,NA,phi,2018-11-02
review,NA,2018-11-03T09:09:00Z,2018-11-03T09:10:00Z,00:00:22,0.0062427,NA,psi,2018-11-03
psi,NA,2018-11-03T09:10:00Z,2018-11-03T09:11:00Z,00:01:16,0.02138,NA,psi,2018-11-03
psi,NA,2018-11-03T09:11:00Z,2018-11-03T09:11:00Z,00:00:24,0.0068979,NA,psi,2018-11-03
community,NA,2018-11-03T09:11:00Z,2018-11-03T09:11:00Z,00:00:02,6.317e-4,NA,psi,2018-11-03
psi,NA,2018-11-03T09:11:00Z,2018-11-03T09:13:00Z,00:01:36,0.0269148,NA,psi,2018-11-03
psi,NA,2018-11-03T09:13:00Z,2018-11-03T09:14:00Z,00:00:57,0.01597,NA,psi,2018-11-03
review,NA,2018-11-03T09:16:00Z,2018-11-03T09:17:00Z,00:01:25,0.0236942,NA,psi,2018-11-03
phi,NA,2018-11-03T15:18:00Z,2018-11-03T15:21:00Z,00:02:25,0.0404641,NA,phi,2018-11-03
psi,NA,2018-11-03T15:21:00Z,2018-11-03T15:27:00Z,00:06:12,0.1035875,NA,psi,2018-11-03
phi,NA,2018-11-03T15:27:00Z,2018-11-03T15:37:00Z,00:09:51,0.1642977,NA,phi,2018-11-03
review,NA,2018-11-03T15:37:00Z,2018-11-03T15:37:00Z,00:00:08,0.0022461,NA,psi,2018-11-03
psi,NA,2018-11-03T15:49:00Z,2018-11-03T16:10:00Z,00:21:09,0.3525358,NA,psi,2018-11-03
phi,NA,2018-11-03T16:19:00Z,2018-11-03T16:41:00Z,00:22:16,0.371335,NA,phi,2018-11-03
review,NA,2018-11-03T16:41:00Z,2018-11-03T16:43:00Z,00:01:18,0.0218512,NA,psi,2018-11-03
theta,NA,2018-11-03T16:43:00Z,2018-11-03T16:44:00Z,00:01:00,0.0168106,NA,theta,2018-11-03
psi,NA,2018-11-03T16:44:00Z,2018-11-03T16:55:00Z,00:10:49,0.1805087,NA,psi,2018-11-03
phi,NA,2018-11-03T17:24:00Z,2018-11-03T17:49:00Z,00:25:21,0.422772,NA,phi,2018-11-03
review,NA,2018-11-03T17:49:00Z,2018-11-03T17:49:00Z,00:00:14,0.0039362,NA,psi,2018-11-03
phi,NA,2018-11-03T18:02:00Z,2018-11-03T18:04:00Z,00:02:27,0.04097,NA,phi,2018-11-03
theta,NA,2018-11-03T18:07:00Z,2018-11-03T18:10:00Z,00:03:03,0.0508547,NA,theta,2018-11-03
psi,NA,2018-11-03T18:13:00Z,2018-11-03T18:35:00Z,00:22:02,0.3672671,NA,psi,2018-11-03
review,NA,2018-11-03T18:35:00Z,2018-11-03T18:37:00Z,00:01:46,0.0296977,NA,psi,2018-11-03
psi,NA,2018-11-04T10:07:00Z,2018-11-04T10:10:00Z,00:02:56,0.0489078,NA,psi,2018-11-04
psi,NA,2018-11-04T10:10:00Z,2018-11-04T10:11:00Z,00:00:46,0.0129568,NA,psi,2018-11-04
